=== 规则书解析 token 消耗汇总 2026-08-04T09:16:41.585Z ===

第1轮  输入 3172 | 输出 136 | 思考 80 | 合计 3308
第2轮  输入 3812 | 输出 179 | 思考 73 | 合计 3991
第3轮  输入 4503 | 输出 240 | 思考 140 | 合计 4743
第4轮  输入 5260 | 输出 91 | 思考 13 | 合计 5351
第5轮  输入 4068 | 输出 81 | 思考 0 | 合计 4149
第6轮  输入 4648 | 输出 261 | 思考 194 | 合计 4909
第7轮  输入 4180 | 输出 497 | 思考 437 | 合计 4677
第8轮  输入 4991 | 输出 76 | 思考 0 | 合计 5067
第9轮  输入 4643 | 输出 1202 | 思考 1174 | 合计 5845
第10轮  输入 6320 | 输出 588 | 思考 407 | 合计 6908
第11轮  输入 7145 | 输出 791 | 思考 615 | 合计 7936
第12轮  输入 9176 | 输出 896 | 思考 696 | 合计 10072
第13轮  输入 6125 | 输出 443 | 思考 330 | 合计 6568
第14轮  输入 6599 | 输出 1707 | 思考 1611 | 合计 8306
第15轮  输入 5846 | 输出 283 | 思考 167 | 合计 6129
第16轮  输入 6683 | 输出 157 | 思考 69 | 合计 6840
第17轮  输入 4272 | 输出 220 | 思考 105 | 合计 4492
第18轮  输入 4598 | 输出 101 | 思考 17 | 合计 4699
第19轮  输入 3772 | 输出 144 | 思考 38 | 合计 3916
第20轮  输入 4459 | 输出 181 | 思考 74 | 合计 4640
第21轮  输入 4111 | 输出 128 | 思考 0 | 合计 4239
第22轮  输入 4394 | 输出 152 | 思考 36 | 合计 4546
第23轮  输入 4149 | 输出 94 | 思考 31 | 合计 4243
第24轮  输入 5531 | 输出 210 | 思考 97 | 合计 5741
第25轮  输入 6120 | 输出 235 | 思考 133 | 合计 6355
第26轮  输入 5864 | 输出 242 | 思考 111 | 合计 6106
第27轮  输入 7210 | 输出 413 | 思考 152 | 合计 7623
第28轮  输入 5242 | 输出 296 | 思考 151 | 合计 5538
第29轮  输入 7069 | 输出 217 | 思考 81 | 合计 7286
第30轮  输入 7199 | 输出 567 | 思考 398 | 合计 7766
第31轮  输入 9246 | 输出 1710 | 思考 1515 | 合计 10956
第32轮  输入 8399 | 输出 1288 | 思考 1108 | 合计 9687
第33轮  输入 7771 | 输出 340 | 思考 174 | 合计 8111
第34轮  输入 6106 | 输出 602 | 思考 420 | 合计 6708
第35轮  输入 7196 | 输出 422 | 思考 210 | 合计 7618
第36轮  输入 7332 | 输出 1136 | 思考 893 | 合计 8468
